documento,numero,fecha,grupo1,tipo,pedido,numpedido
18002330,76.30,05/04/18,PACO CANTERO,Factura,Pedido,20547
18007723,107.63,18/10/18,PACO CANTERO,Factura,Pedido,17803
18007724,807.29,18/10/18,PACO CANTERO,Factura,Pedido,20565
18002331,3952.90,05/04/18,PACO CANTERO,Factura,Pedido,20257
18007725,3023.62,18/10/18,PACO CANTERO,Factura,Pedido,20257
18007726,170.29,18/10/18,PACO CANTERO,Factura,Pedido,20010
18007727,33.53,18/10/18,PACO CANTERO,Factura,Pedido,19926
18007728,195.80,18/10/18,PACO CANTERO,Factura,Pedido,16211
18007729,191.45,18/10/18,PACO CANTERO,Factura,Pedido,19030
18002345,20.38,12/04/18,PACO CANTERO,Factura,Pedido,20017
18007731,4289.72,18/10/18,PACO CANTERO,Factura,Pedido,19778
18007732,486.87,18/10/18,PACO CANTERO,Factura,Pedido,19778
18007733,575.08,18/10/18,PACO CANTERO,Factura,Pedido,19778
18007734,354.83,18/10/18,PACO CANTERO,Factura,Pedido,19778
18007735,296.20,18/10/18,PACO CANTERO,Factura,Pedido,19778
18001515,121.56,05/03/18,PACO CANTERO,Factura,Pedido,20068
18001514,487.02,05/03/18,PACO CANTERO,Factura,Pedido,18354
18007738,313.99,22/10/18,PACO CANTERO,Factura,Pedido,19778
18001513,551.24,05/03/18,PACO CANTERO,Factura,Pedido,20113
18001512,249.13,05/03/18,PACO CANTERO,Factura,Pedido,16527
18001511,277.32,05/03/18,PACO CANTERO,Factura,Pedido,16994
18000749,47.64,01/02/18,PACO CANTERO,Factura,Pedido,19735
18001510,143.80,05/03/18,PACO CANTERO,Factura,Pedido,18368
18001509,58.28,05/03/18,PACO CANTERO,Factura,Pedido,20016
18001508,24.92,05/03/18,PACO CANTERO,Factura,Pedido,20169
18000748,966.59,01/02/18,PACO CANTERO,Factura,Pedido,19030
18000747,177.38,01/02/18,PACO CANTERO,Factura,Pedido,20311
18002085,131.89,22/03/18,PACO CANTERO,Factura,Pedido,16164
18002326,694.66,05/04/18,PACO CANTERO,Factura,Pedido,19878
18002327,470.98,05/04/18,PACO CANTERO,Factura,Pedido,20531
18006494,57.04,06/09/18,PACO CANTERO,Factura,Pedido,16383
18006493,150.00,06/09/18,PACO CANTERO,Factura,Pedido,20415
18006492,1624.19,06/09/18,PACO CANTERO,Factura,Pedido,18009
18006491,209.22,06/09/18,PACO CANTERO,Factura,Pedido,20068
18002328,115.70,05/04/18,PACO CANTERO,Factura,Pedido,18095
18006490,643.51,06/09/18,PACO CANTERO,Factura,Pedido,20113
18006489,192.00,06/09/18,PACO CANTERO,Factura,Pedido,16527
18006488,138.43,06/09/18,PACO CANTERO,Factura,Pedido,20169
18006487,1735.03,06/09/18,PACO CANTERO,Factura,Pedido,20067
18006486,228.52,06/09/18,PACO CANTERO,Factura,Pedido,19975
18006485,6450.37,06/09/18,PACO CANTERO,Factura,Pedido,19778
18006484,83.25,06/09/18,PACO CANTERO,Factura,Pedido,16164
18001521,62.23,05/03/18,PACO CANTERO,Factura,Pedido,20684
18001520,52.36,05/03/18,PACO CANTERO,Factura,Pedido,18095
18001519,353.07,05/03/18,PACO CANTERO,Factura,Pedido,20531
18001518,265.80,05/03/18,PACO CANTERO,Factura,Pedido,19878
18001517,498.18,05/03/18,PACO CANTERO,Factura,Pedido,16383
18001516,1295.18,05/03/18,PACO CANTERO,Factura,Pedido,18009
18007708,77.70,18/10/18,PACO CANTERO,Factura,Pedido,16164
